Name,Rank,Industry,Headquarters_State,Revenues,year
General Motors Corporation,1,Motor Vehicles and Parts,MI,"16,882,860",1996
Ford Motor Company,2,Motor Vehicles and Parts,MI,"13,713,700",1996
Exxon Corporation,3,Petroleum Refining,TX,"11,000,900",1996
"Wal-Mart Stores, Inc.",4,General Merchandisers,AR,"9,362,700",1996
AT&T Corp.,5,Telecommunications,NY,"7,960,900",1996
International Business Machines Corporation,6,"Computers, Office Equipment",NY,"7,194,000",1996
General Electric Company,7,"Electronics, Electrical Equip.",CT,"7,002,800",1996
Mobil Corporation,8,Petroleum Refining,VA,"6,672,400",1996
Chrysler Corporation,9,Motor Vehicles and Parts,MI,"5,319,500",1996
Philip Morris Companies,10,Tobacco,NY,"5,313,900",1996
Prudential Insurance Company of America,11,"Insurance: Life, Health (Mutual)",NJ,"4,133,000",1996
State Farm Group,12,Insurance: Property and Casualty (Mutual),IL,"4,080,990",1996
"E.I. Du Pont de Nemours and Company, Inc.",13,Chemicals,DE,"3,760,700",1996
"Texaco, Inc.",14,Petroleum Refining,NY,"3,678,700",1996
"Sears, Roebuck & Company",15,General Merchandisers,IL,"3,518,100",1996
Kmart Corporation,16,General Merchandisers,MI,"3,465,400",1996
The Procter & Gamble Company,17,"Soaps, Cosmetics",OH,"3,343,400",1996
Chevron Corporation,18,Petroleum Refining,CA,"3,209,400",1996
Citicorp,19,Commercial Banks,NY,"3,169,000",1996
Hewlett-Packard Company,20,"Computers, Office Equipment",CA,"3,151,900",1996
"PepsiCo, Inc.",21,Food Services,NY,"3,042,100",1996
Metropolitan Life Insurance Co.,22,"Insurance: Life, Health (Mutual)",NY,"2,797,700",1996
Amoco Corporation,23,Petroleum Refining,IL,"2,766,500",1996
"Motorola, Inc.",24,"Electronics, Electrical Equip.",IL,"2,703,700",1996
"American International Group,Inc.",25,Insurance: Property and Casualty (Stock),NY,"2,587,400",1996
"ConAgra, Inc.",26,Food,NE,"2,410,890",1996
The Kroger Company,27,Food and Drug Stores,OH,"2,393,780",1996
Dayton Hudson Corporation,28,General Merchandisers,MN,"2,351,600",1996
Lockheed Martin Corporation,29,Aerospace,MD,"2,285,300",1996
United Technologies Corporation,30,Aerospace,CT,"2,280,200",1996
The Allstate Corporation,31,Insurance: Property and Casualty (Stock),IL,"2,279,300",1996
Federal National Mortgage Association,32,Diversified Financials,DC,"2,224,600",1996
"Merrill Lynch & Company, Inc.",33,X Brokerage,NY,"2,151,300",1996
"J.C. Penney Company, Inc.",34,General Merchandisers,TX,"2,141,900",1996
"United Parcel Service of America, Inc.",35,"Mail, Package, and Freight Delivery",GA,"2,104,500",1996
The Dow Chemical Company,36,Chemicals,MI,"2,095,700",1996
BankAmerica Corporation,37,Commercial Banks,CA,"2,038,600",1996
GTE Corporation,38,Telecommunications,CT,"1,995,700",1996
International Paper Company,39,Forest and Paper Products,NY,"1,979,700",1996
The Boeing Company,40,Aerospace,WA,"1,951,500",1996
Xerox Corporation,41,"Scientific,Photographic and Control Equipment",CT,"1,896,300",1996
Cigna Corporation,42,"Insurance: Life, Health (stock)",PA,"1,895,500",1996
Johnson & Johnson,43,Pharmaceuticals,NJ,"1,884,200",1996
Loews Corporation,44,Insurance: Property and Casualty (Stock),NY,"1,877,000",1996
American Stores Company,45,Food and Drug Stores,UT,"1,830,890",1996
"Price/Costco, Inc.",46,Specialty Retailers,WA,"1,824,730",1996
USX Corporation,47,Petroleum Refining,PA,"1,821,400",1996
The Coca-Cola Company,48,Beverages,GA,"1,801,800",1996
BellSouth Corporation,49,Telecommunications,GA,"1,788,600",1996
Sara Lee Corporation,50,Food,IL,"1,771,900",1996
Columbia/HCA Healthcare Corp.,51,Health Care,TN,"1,769,500",1996
"Fleming Companies, Inc.",52,Wholesalers,OK,"1,750,160",1996
AMR Corporation,53,Airlines,TX,"1,691,000",1996
Atlantic Richfield Company,54,Petroleum Refining,CA,"1,673,900",1996
"Merck & Co., Inc.",55,Pharmaceuticals,NJ,"1,668,110",1996
The Travelers Group,56,Insurance: Property and Casualty (Stock),NY,"1,658,300",1996
"Supervalu, Inc.",57,Wholesalers,MN,"1,656,380",1996
"Safeway, Inc.",58,Food and Drug Stores,CA,"1,639,750",1996
NationsBank Corporation,59,Commercial Banks,NC,"1,629,800",1996
Intel Corporation,60,"Electronics, Electrical Equip.",CA,"1,620,200",1996
New York Life Insurance Company,61,"Insurance: Life, Health (Mutual)",NY,"1,620,170",1996
Minnesota Mining & Manufacturing Company,62,"Scientific,Photographic and Control Equipment",MN,"1,610,500",1996
"Caterpillar, Inc.",63,Industrial and Farm Equipment,IL,"1,607,200",1996
RJR Nabisco Holdings Corporation,64,Food,NY,"1,600,800",1996
American Express Company,65,Diversified Financials,NY,"1,584,100",1996
"The Home Depot, Inc.",66,Specialty Retailers,GA,"1,547,040",1996
Eastman Kodak Company,67,"Scientific,Photographic and Control Equipment",NY,"1,526,900",1996
MCI Communications Corporation,68,Telecommunications,DC,"1,526,500",1996
morg,69,General Merchandisers,OH,"1,504,850",1996
UAL Corporation,70,Airlines,IL,"1,494,300",1996
Chemical Banking Corporation,71,Commercial Banks,NY,"1,488,400",1996
Compaq Computer Corporation,72,"Computers, Office Equipment",TX,"1,475,500",1996
AlliedSignal Inc.,73,Aerospace,NJ,"1,434,600",1996
McDonnell Douglas Corporation,74,Aerospace,MO,"1,433,200",1996
Georgia-Pacific Corporation,75,Forest and Paper Products,GA,"1,429,200",1996
J.P. Morgan & Co. Inc.,76,Commercial Banks,NY,"1,383,800",1996
Digital Equipment Corporation,77,"Computers, Office Equipment",MA,"1,381,310",1996
Kimberly-Clark Corporation,78,Forest and Paper Products,TX,"1,378,860",1996
Bristol-Myers Squibb Company,79,Pharmaceuticals,NY,"1,376,700",1996
Sprint Corporation,80,Telecommunications,KS,"1,359,950",1996
Phillips Petroleum Company,81,Petroleum Refining,OK,"1,352,100",1996
"Lehman Brothers Holdings, Inc.",82,X Brokerage,NY,"1,347,600",1996
Bell Atlantic Corporation,83,Telecommunications,PA,"1,342,950",1996
Ameritech Corporation,84,Telecommunications,IL,"1,342,780",1996
NYNEX Corporation,85,Telecommunications,NY,"1,340,690",1996
American Home Products Corporation,86,Pharmaceuticals,NJ,"1,337,610",1996
McKesson Corporation,87,Wholesalers,CA,"1,332,550",1996
The Goodyear Tire & Rubber Company,88,Rubber and Plastic Products,OH,"1,316,590",1996
"Texas Instruments, Inc.",89,"Electronics, Electrical Equip.",TX,"1,312,800",1996
Rockwell International Corporation,90,"Electronics, Electrical Equip.",CA,"1,300,900",1996
Aetna Life & Casualty Co.,91,"Insurance: Life, Health (stock)",CT,"1,297,800",1996
Archer Daniels Midland Company,92,Food,IL,"1,267,190",1996
